Timestamp,Source_IP,Destination_IP,Prediction,Confidence_Score,Detection_Time_ms,Mitigation_Time_ms,Action_Taken
2026-05-24T22:42:40.286506,10.0.42.192,victim,DDoS,0.8600,33.97,0.25,"DROP_RULE_INSTALLED(ip=10.0.42.192, priority=100, timeout=300s)"
2026-05-24T22:42:40.332049,10.0.71.21,victim,DDoS,0.8600,38.54,0.23,"DROP_RULE_INSTALLED(ip=10.0.71.21, priority=100, timeout=300s)"
2026-05-24T22:42:40.364934,10.0.159.163,victim,DDoS,0.8600,28.41,0.20,"DROP_RULE_INSTALLED(ip=10.0.159.163, priority=100, timeout=300s)"
2026-05-24T22:42:40.396189,10.0.83.8,victim,DDoS,0.8600,27.21,0.17,"DROP_RULE_INSTALLED(ip=10.0.83.8, priority=100, timeout=300s)"
2026-05-24T22:42:40.429894,10.0.68.230,victim,DDoS,0.8600,30.45,0.21,"DROP_RULE_INSTALLED(ip=10.0.68.230, priority=100, timeout=300s)"
2026-05-24T22:42:40.461433,10.0.62.69,victim,DDoS,0.8600,27.84,0.20,"DROP_RULE_INSTALLED(ip=10.0.62.69, priority=100, timeout=300s)"
2026-05-24T22:42:40.492219,10.0.43.131,victim,DDoS,0.8600,27.45,0.17,"DROP_RULE_INSTALLED(ip=10.0.43.131, priority=100, timeout=300s)"
2026-05-24T22:42:40.522218,10.0.192.223,victim,DDoS,0.8600,27.11,0.15,"DROP_RULE_INSTALLED(ip=10.0.192.223, priority=100, timeout=300s)"
2026-05-24T22:42:40.551886,10.0.34.185,victim,DDoS,0.8600,26.74,0.14,"DROP_RULE_INSTALLED(ip=10.0.34.185, priority=100, timeout=300s)"
2026-05-24T22:42:40.581247,10.0.195.134,victim,DDoS,0.7800,26.49,0.15,"DROP_RULE_INSTALLED(ip=10.0.195.134, priority=100, timeout=300s)"
2026-05-24T22:42:42.384057,10.0.113.178,victim,DDoS,0.8600,27.13,0.18,"DROP_RULE_INSTALLED(ip=10.0.113.178, priority=100, timeout=300s)"
2026-05-24T22:42:42.413962,10.0.118.249,victim,DDoS,0.8600,26.49,0.24,"DROP_RULE_INSTALLED(ip=10.0.118.249, priority=100, timeout=300s)"
2026-05-24T22:42:42.450784,10.0.84.46,victim,DDoS,0.8600,31.52,0.19,"DROP_RULE_INSTALLED(ip=10.0.84.46, priority=100, timeout=300s)"
2026-05-24T22:42:42.543696,10.0.37.75,victim,DDoS,0.8600,26.65,0.16,"DROP_RULE_INSTALLED(ip=10.0.37.75, priority=100, timeout=300s)"
2026-05-24T22:42:42.603813,10.0.97.119,victim,DDoS,0.8600,27.52,0.27,"DROP_RULE_INSTALLED(ip=10.0.97.119, priority=100, timeout=300s)"
2026-05-24T22:42:42.667445,10.0.151.244,victim,DDoS,0.8600,26.84,0.16,"DROP_RULE_INSTALLED(ip=10.0.151.244, priority=100, timeout=300s)"
2026-05-24T22:42:42.782385,10.0.208.57,victim,DDoS,0.8600,26.40,0.15,"DROP_RULE_INSTALLED(ip=10.0.208.57, priority=100, timeout=300s)"
2026-05-24T22:42:42.812564,10.0.132.232,victim,DDoS,0.8600,27.31,0.14,"DROP_RULE_INSTALLED(ip=10.0.132.232, priority=100, timeout=300s)"
