APf,ABf,GDP,NFi,NSi,label
1.0,415.6786,37,28,1,1
1.0,424.2941,23,17,1,1
1.0,433.5,15,12,1,1
1.0,433.25,5,4,1,1
1.0,417.3333,8,6,1,1
1.0,434.0,6,4,1,1
1.0,419.5455,29,22,1,1
1.0,392.1111,12,9,1,1
1.0,416.3333,8,6,1,1
1.0,422.0,33,24,1,1
1.0,420.7429,45,35,1,1
1.0,418.0588,45,34,1,1
1.0,431.75,5,4,1,1
1.0,428.1667,8,6,1,1
1.0,414.6667,12,9,1,1
1.0,421.6667,24,18,1,1
1.0,425.5714,18,14,1,1
1.0,428.6364,14,11,1,1
1.0,433.25,20,16,1,1
1.0,423.4118,44,34,1,1
1.0,425.1429,9,7,1,1
1.0,437.3846,15,13,1,1
1.0,484.0,3,3,1,1
1.0,421.5,21,16,1,1
1.0,444.0,6,5,1,1
1.0,439.5556,11,9,1,1
1.0,452.0,9,7,1,1
1.0,484.0,1,1,1,1
1.0,484.0,2,2,1,1
1.0,444.0,6,5,1,1
1.0,420.0,2,1,1,1
1.0,416.0,2,2,1,1
1.0,484.0,3,2,1,1
1.0,484.0,2,2,1,1
1.0,484.0,3,3,1,1
2.6667,1559.0,17,12,1,1
2.5714,1489.9643,40,28,1,1
1.0,414.3333,16,12,1,1
1.0,421.3,27,20,1,1
1.0,414.3333,8,6,1,1
1.0,484.0,4,3,1,1
1.0,484.0,1,1,1,1
2.2216,903.5256,7473,6240,1,1
9.0,2304.5,3,4,2,1
9.0,3896.0,1,2,2,1
4.3333,1325.3333,2,6,2,1
2.0,132.0,0,2,2,1
11.0,3348.3333,3,6,2,1
6.5,1945.5,2,4,2,1
8.1667,2874.8333,5,12,2,1
7.0,2848.5,0,6,2,1
9.0,3105.0,2,4,2,1
7.6667,2598.6667,2,6,2,1
2.0,132.0,0,2,2,1
5.5,1906.5,2,4,2,1
2.0,132.0,1,6,2,1
4.3333,1308.0,3,6,2,1
2.0,132.0,0,2,2,1
3.25,966.75,4,8,2,1
2.0,132.0,0,4,2,1
9.0,1092.0,1,2,2,1
12.0,4124.0,1,2,2,1
2.0,140.0,2,4,2,1
6.6667,1689.6667,1,6,2,1
9.0,2244.0,2,4,2,1
9.0,3577.0,1,2,2,1
2.0,132.0,0,2,2,1
9.0,2195.0,3,6,2,1
4.0,1031.5,2,4,2,1
4.3333,801.6667,1,6,2,1
12.0,3841.0,1,2,2,1
6.0,1878.0,1,2,2,1
4.5,1257.875,3,8,2,1
2.0,132.0,0,2,2,1
4.3333,787.0,3,6,2,1
5.5,1866.0,2,4,2,1
2.0,132.0,0,4,2,1
8.0,3307.0,3,6,2,1
4.0,987.0,4,14,2,1
2.0,132.0,0,2,2,1
12.0,3966.0,1,2,2,1
12.0,4187.0,1,2,2,1
9.0,3542.0,2,4,2,1
2.0,132.0,0,4,2,1
3.3333,717.6667,3,6,2,1
4.3333,796.6667,1,6,2,1
2.0,132.0,1,2,2,1
12.0,3841.0,1,2,2,1
7.0,2031.2,5,10,2,1
2.0,132.0,0,6,2,1
5.5,1897.0,2,4,2,1
7.25,2011.25,3,8,2,1
2.0,132.0,0,2,2,1
9.0,3552.0,1,2,2,1
1.5,104.0,1,4,2,1
4.0,1034.25,3,8,2,1
4.5,901.75,1,8,2,1
9.0,2233.0,2,4,2,1
9.0,2307.0,2,4,2,1
9.0,1092.0,1,2,2,1
8.3333,2831.3333,6,12,2,1
4.0,864.4,1,10,2,1
9.0,2644.0,1,2,2,1
7.0,1216.0,2,4,2,1
12.0,3808.0,1,2,2,1
5.5,1110.0,2,4,2,1
5.5,2000.5,2,4,2,1
3.75,615.0,2,8,2,1
7.6667,2056.6667,3,6,2,1
2.0,132.0,0,2,2,1
12.0,3776.0,1,2,2,1
5.5,1858.0,2,4,2,1
2.0,132.0,0,2,2,1
5.4,1575.6,5,10,2,1
4.0,1088.0,2,8,2,1
4.5714,1200.4286,5,14,2,1
2.0,132.0,0,6,2,1
9.0,3636.0,1,2,2,1
2.0,132.0,0,2,2,1
12.0,3817.5,2,4,2,1
12.0,3808.0,1,2,2,1
5.5,1892.5,2,4,2,1
2.0,132.0,0,2,2,1
9.0,2246.5,2,4,2,1
2.0,132.0,1,2,2,1
9.0,2052.0,1,2,2,1
6.75,2036.75,4,8,2,1
6.0,1606.4,2,10,2,1
12.0,4067.0,1,2,2,1
6.0,1885.0,1,2,2,1
5.0,1097.0,0,2,2,1
7.0,1782.0,3,6,2,1
4.3333,1292.0,1,6,2,1
5.5,1843.5,1,4,2,1
2.0,132.0,0,2,2,1
4.0,1004.0,2,4,2,1
6.6667,2446.0,2,6,2,1
4.3333,1052.5,4,12,2,1
2.0,132.0,0,4,2,1
7.6667,2589.6667,3,6,2,1
2.0,132.0,0,2,2,1
0,0,22,1359,1144,1
0,0,135,1568,1394,1
0,0,387,507,422,1
0,0,199,259,250,1
0,0,54,1877,1780,1
0,0,26,1259,1115,1
0,0,37,111,90,1
0,0,318,526,484,1
0,0,35,104,100,1
0,0,224,1516,1491,1
0,0,311,501,457,1
0,0,455,619,598,1
0,0,61,63,62,1
0,0,184,376,354,1
0,0,120,619,514,1
0,0,62,1613,1462,1
0,0,34,239,215,1
0,0,319,785,716,1
0,0,32,591,575,1
0,0,284,1544,1470,1
0,0,203,305,303,1
0,0,85,211,203,1
0,0,326,1748,1719,1
0,0,305,1863,1675,1
0,0,33,443,362,1
0,0,405,1404,1239,1
0,0,447,642,533,1
0,0,204,526,432,1
0,0,335,619,553,1
0,0,93,1758,1592,1
0,0,117,808,736,1
0,0,369,1422,1273,1
0,0,341,1968,1923,1
0,0,172,196,194,1
0,0,383,400,388,1
0,0,246,551,460,1
0,0,483,827,730,1
0,0,360,1360,1200,1
0,0,127,714,585,1
0,0,422,1733,1402,1
0,0,147,696,658,1
0,0,155,185,161,1
0,0,171,1844,1842,1
0,0,265,485,471,1
0,0,244,860,852,1
0,0,81,342,306,1
0,0,297,555,539,1
0,0,392,1153,989,1
0,0,469,1247,1106,1
0,0,195,1245,1098,1
0,0,270,499,416,1
0,0,396,1060,871,1
0,0,38,146,143,1
0,0,358,363,310,1
0,0,42,914,883,1
0,0,315,838,767,1
0,0,138,1008,941,1
0,0,492,1183,1166,1
0,0,44,73,61,1
0,0,67,1624,1473,1
0,0,90,651,631,1
0,0,498,979,783,1
0,0,266,1528,1356,1
0,0,269,1610,1379,1
0,0,455,1919,1589,1
0,0,440,1330,1216,1
0,0,321,1358,1345,1
0,0,201,457,384,1
0,0,286,1611,1370,1
0,0,480,1644,1586,1
0,0,30,51,49,1
0,0,67,1050,844,1
0,0,459,1952,1746,1
0,0,132,1753,1559,1
0,0,155,168,149,1
0,0,53,1989,1631,1
0,0,427,1548,1486,1
0,0,42,191,186,1
0,0,291,312,309,1
0,0,280,388,343,1
0,0,226,1836,1778,1
0,0,396,483,455,1
0,0,375,1544,1337,1
0,0,353,688,652,1
0,0,234,1380,1295,1
0,0,241,1892,1777,1
0,0,125,297,252,1
0,0,15,181,165,1
0,0,127,1254,1144,1
0,0,13,1255,1060,1
0,0,68,195,159,1
0,0,94,188,152,1
0,0,70,195,188,1
0,0,258,620,581,1
0,0,77,488,459,1
0,0,305,1531,1516,1
0,0,411,1018,876,1
0,0,107,1018,918,1
0,0,178,243,200,1
0,0,226,932,835,1
0,0,452,891,831,1
0,0,354,1543,1261,1
0,0,41,1388,1160,1
0,0,419,874,785,1
0,0,137,1814,1506,1
0,0,284,442,377,1
0,0,226,968,809,1
0,0,246,425,375,1
0,0,482,561,559,1
0,0,150,204,191,1
0,0,176,250,203,1
0,0,17,1157,1139,1
0,0,227,241,240,1
0,0,218,534,448,1
0,0,119,1044,958,1
0,0,472,1820,1661,1
0,0,107,170,146,1
0,0,26,54,49,1
0,0,156,1947,1789,1
0,0,500,916,910,1
0,0,348,1546,1520,1
0,0,89,1521,1465,1
0,0,121,438,387,1
0,0,25,169,169,1
0,0,39,1581,1424,1
0,0,138,152,151,1
0,0,90,1932,1816,1
0,0,30,166,164,1
0,0,45,1793,1529,1
0,0,355,1268,1031,1
0,0,216,1815,1572,1
0,0,136,295,292,1
0,0,30,1235,1140,1
0,0,224,1318,1095,1
0,0,171,1396,1383,1
0,0,114,1964,1704,1
0,0,132,1421,1296,1
0,0,77,593,524,1
0,0,244,1425,1293,1
0,0,14,697,575,1
0,0,298,988,949,1
0,0,147,254,207,1
0,0,145,486,452,1
0,0,45,321,300,1
0,0,199,1850,1605,1
0,0,234,633,546,1
0,0,370,1757,1683,1
0,0,351,669,537,1
0,0,163,1723,1661,1
0,0,63,1958,1905,1
0,0,145,1972,1645,1
0,0,64,286,284,1
0,0,89,1570,1539,1
